,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
64,cap61,70,10,1.0899500846862793,932615.75,932568.9296946327,18,reached dual gap tolerance
65,cap61,70,12,1.2310781478881836,932615.75,932583.9874999999,22,reached dual gap tolerance
66,cap61,70,14,1.2153739929199219,932615.75,932547.31186264,23,reached dual gap tolerance
67,cap61,70,16,1.1897075176239014,932615.75,932587.3999918674,22,reached dual gap tolerance
68,cap61,70,18,1.1528723239898682,932615.75,932615.7500000001,21,reached dual gap tolerance
69,cap61,70,20,1.142075538635254,932615.75,932567.7500000001,21,reached dual gap tolerance
70,cap61,80,2,6.195476770401001,932615.75,920421.5432358067,201,max iterations
71,cap61,80,4,6.311671495437622,932615.75,931065.99969293,201,max iterations
72,cap61,80,6,1.9703357219696045,932615.75,932523.9190288665,47,reached dual gap tolerance
73,cap61,80,8,1.3137321472167969,932615.75,932529.734607925,25,reached dual gap tolerance
74,cap61,80,10,1.2040960788726807,932615.75,932568.9296946327,18,reached dual gap tolerance
75,cap61,80,12,1.6354010105133057,932615.75,932583.9874999999,22,reached dual gap tolerance
76,cap61,80,14,1.8661131858825684,932615.75,932547.31186264,23,reached dual gap tolerance
77,cap61,80,16,1.876551866531372,932615.75,932587.3999918674,22,reached dual gap tolerance
78,cap61,80,18,1.4304938316345215,932615.75,932615.7500000001,21,reached dual gap tolerance
79,cap61,80,20,1.6875314712524414,932615.75,932567.7500000001,21,reached dual gap tolerance
80,cap61,90,2,9.756883382797241,932615.75,920421.5432358067,201,max iterations
81,cap61,90,4,10.076922178268433,932615.75,931065.99969293,201,max iterations
82,cap61,90,6,2.802462339401245,932615.75,932523.9190288665,47,reached dual gap tolerance
83,cap61,90,8,1.8681964874267578,932615.75,932529.734607925,25,reached dual gap tolerance
84,cap61,90,10,1.4681968688964844,932615.75,932568.9296946327,18,reached dual gap tolerance
85,cap61,90,12,1.5765297412872314,932615.75,932583.9874999999,22,reached dual gap tolerance
86,cap61,90,14,1.708136796951294,932615.75,932547.31186264,23,reached dual gap tolerance
87,cap61,90,16,1.503993272781372,932615.75,932587.3999918674,22,reached dual gap tolerance
88,cap61,90,18,1.6582746505737305,932615.75,932615.7500000001,21,reached dual gap tolerance
89,cap61,90,20,1.6650595664978027,932615.75,932567.7500000001,21,reached dual gap tolerance
90,cap61,100,2,9.198344230651855,932615.75,920421.5432358067,201,max iterations
91,cap61,100,4,10.510403394699097,932615.75,931065.99969293,201,max iterations
92,cap61,100,6,2.8432810306549072,932615.75,932523.9190288665,47,reached dual gap tolerance
93,cap61,100,8,1.8891465663909912,932615.75,932529.734607925,25,reached dual gap tolerance
94,cap61,100,10,1.2917819023132324,932615.75,932568.9296946327,18,reached dual gap tolerance
95,cap61,100,12,1.6865289211273193,932615.75,932583.9874999999,22,reached dual gap tolerance
96,cap61,100,14,1.5528168678283691,932615.75,932547.31186264,23,reached dual gap tolerance
97,cap61,100,16,1.684598684310913,932615.75,932587.3999918674,22,reached dual gap tolerance
98,cap61,100,18,1.7628819942474365,932615.75,932615.7500000001,21,reached dual gap tolerance
99,cap61,100,20,1.5147168636322021,932615.75,932567.7500000001,21,reached dual gap tolerance
100,cap62,10,2,0.3808615207672119,0.0,0.0,0,unclear if the intergrality property holds
101,cap62,10,4,0.3460550308227539,0.0,0.0,0,unclear if the intergrality property holds
102,cap62,10,6,0.2659952640533447,0.0,0.0,0,unclear if the intergrality property holds
103,cap62,10,8,0.26317667961120605,0.0,0.0,0,unclear if the intergrality property holds
104,cap62,10,10,0.26485300064086914,0.0,0.0,0,unclear if the intergrality property holds
105,cap62,10,12,0.27424049377441406,0.0,0.0,0,unclear if the intergrality property holds
106,cap62,10,14,0.2660057544708252,0.0,0.0,0,unclear if the intergrality property holds
107,cap62,10,16,0.27603936195373535,0.0,0.0,0,unclear if the intergrality property holds
108,cap62,10,18,0.2637653350830078,0.0,0.0,0,unclear if the intergrality property holds
109,cap62,10,20,0.2668600082397461,0.0,0.0,0,unclear if the intergrality property holds
110,cap62,20,2,0.41097235679626465,0.0,0.0,0,unclear if the intergrality property holds
111,cap62,20,4,0.40940260887145996,0.0,0.0,0,unclear if the intergrality property holds
112,cap62,20,6,0.4111313819885254,0.0,0.0,0,unclear if the intergrality property holds
113,cap62,20,8,0.4062814712524414,0.0,0.0,0,unclear if the intergrality property holds
114,cap62,20,10,0.4206850528717041,0.0,0.0,0,unclear if the intergrality property holds
115,cap62,20,12,0.4106323719024658,0.0,0.0,0,unclear if the intergrality property holds
116,cap62,20,14,0.4074530601501465,0.0,0.0,0,unclear if the intergrality property holds
117,cap62,20,16,0.41068482398986816,0.0,0.0,0,unclear if the intergrality property holds
118,cap62,20,18,0.4089324474334717,0.0,0.0,0,unclear if the intergrality property holds
119,cap62,20,20,0.4128854274749756,0.0,0.0,0,unclear if the intergrality property holds
120,cap62,30,2,10.354860305786133,977799.4,961860.8435824452,201,max iterations
121,cap62,30,4,10.39228343963623,977799.4,976603.7129415044,201,max iterations
122,cap62,30,6,1.6690289974212646,977799.4,977389.7786500442,25,reached subgradient tolerance
123,cap62,30,8,1.8636622428894043,977799.4,977585.6422914701,25,reached subgradient tolerance
124,cap62,30,10,1.7308146953582764,977799.4,977680.2039457699,21,reached subgradient tolerance
125,cap62,30,12,1.3672888278961182,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
126,cap62,30,14,1.920140266418457,977799.4,977794.8013821578,26,reached dual gap tolerance
127,cap62,30,16,1.876769781112671,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
